               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.039247,            0.032812,            0.037736,             0.42739,             0.49849,              0.4271,             0.19009,            0.042932,            0.012606,            0.030247,            0.004654,            0.004654,            0.004654
                  56,             0.03945,             0.03331,            0.039291,             0.55017,             0.47028,             0.47294,             0.25809,            0.037969,            0.012339,            0.030674,            0.004555,            0.004555,            0.004555
                  57,             0.03937,            0.034017,            0.036082,             0.65766,             0.39469,             0.45319,             0.21818,            0.041772,            0.012246,            0.031245,            0.004456,            0.004456,            0.004456
                  58,            0.036975,            0.033973,            0.035688,              0.4353,             0.49607,             0.47365,              0.2387,            0.038725,            0.011941,            0.032132,            0.004357,            0.004357,            0.004357
                  59,            0.037821,            0.032135,            0.037819,             0.41988,             0.53117,             0.48078,             0.23848,            0.040162,            0.011704,            0.031065,            0.004258,            0.004258,            0.004258
                  60,            0.037734,            0.032945,            0.035531,             0.66143,             0.39604,             0.47887,             0.23735,            0.041916,            0.011576,            0.029615,            0.004159,            0.004159,            0.004159
                  61,            0.037889,            0.032522,            0.034879,             0.50515,             0.51005,             0.49089,             0.24693,             0.03993,            0.011592,            0.028901,             0.00406,             0.00406,             0.00406
                  62,            0.040138,            0.033057,            0.037387,             0.37819,             0.49943,             0.45116,             0.22623,            0.042793,            0.011906,            0.029725,            0.003961,            0.003961,            0.003961
                  63,            0.039051,            0.032076,            0.038797,             0.50307,             0.54968,              0.5503,             0.25965,            0.038606,            0.012284,            0.027913,            0.003862,            0.003862,            0.003862
                  64,            0.040071,            0.033581,            0.036625,             0.63607,             0.44324,              0.4902,             0.23115,            0.040032,            0.012064,            0.027266,            0.003763,            0.003763,            0.003763
                  65,            0.038709,            0.031393,            0.034717,             0.67236,             0.43876,             0.50712,             0.24426,            0.039349,             0.01193,            0.028132,            0.003664,            0.003664,            0.003664
                  66,            0.038022,            0.032413,            0.035528,             0.39645,             0.53474,             0.53423,             0.24596,            0.038234,             0.01174,             0.02723,            0.003565,            0.003565,            0.003565
                  67,             0.03796,            0.033301,            0.035059,             0.47241,             0.52106,             0.54239,             0.26545,            0.037099,            0.011782,            0.027004,            0.003466,            0.003466,            0.003466
                  68,             0.03699,            0.032234,            0.033329,             0.60211,             0.44918,             0.48419,             0.24753,            0.039752,            0.011938,            0.029263,            0.003367,            0.003367,            0.003367
                  69,            0.038372,            0.032301,             0.03265,             0.49946,             0.48873,             0.48645,             0.22957,            0.041776,            0.012155,            0.028149,            0.003268,            0.003268,            0.003268
                  70,             0.03854,            0.032114,             0.03409,             0.47028,              0.5519,             0.54004,             0.24934,             0.03784,            0.012415,            0.029532,            0.003169,            0.003169,            0.003169
                  71,            0.038238,            0.033244,            0.032908,             0.52774,             0.41475,             0.45096,             0.22344,            0.039635,            0.012294,            0.027708,             0.00307,             0.00307,             0.00307
                  72,            0.037169,            0.031771,            0.034336,             0.43954,             0.57624,              0.5166,             0.24952,            0.038052,            0.012181,            0.026375,            0.002971,            0.002971,            0.002971
                  73,            0.036852,            0.033606,            0.030736,             0.66967,             0.47329,             0.53433,             0.26441,            0.038072,            0.012328,            0.026731,            0.002872,            0.002872,            0.002872
                  74,            0.037831,            0.030999,             0.03203,             0.72605,             0.47351,             0.55837,              0.2695,            0.037733,            0.012086,            0.027573,            0.002773,            0.002773,            0.002773
                  75,            0.036742,            0.031658,            0.033029,             0.49582,             0.53265,             0.54089,             0.27789,            0.036283,            0.012078,             0.02577,            0.002674,            0.002674,            0.002674
                  76,             0.03607,            0.031556,             0.03145,             0.58914,              0.5132,             0.56393,             0.28633,            0.035309,             0.01212,             0.02632,            0.002575,            0.002575,            0.002575
                  77,            0.036598,             0.03235,             0.03261,             0.58261,             0.51701,             0.54769,             0.25775,            0.038099,            0.012204,            0.025983,            0.002476,            0.002476,            0.002476
                  78,            0.036571,             0.03122,            0.031006,             0.57829,             0.51576,             0.56458,             0.27359,            0.038172,            0.012168,              0.0254,            0.002377,            0.002377,            0.002377
                  79,            0.036136,            0.032441,            0.031733,             0.62419,             0.55821,             0.57011,             0.28214,            0.037111,            0.012197,            0.024318,            0.002278,            0.002278,            0.002278
                  80,            0.034954,            0.030929,            0.031107,             0.66357,             0.54346,             0.59435,              0.2849,            0.036584,            0.012247,            0.024216,            0.002179,            0.002179,            0.002179
                  81,            0.034661,            0.032102,            0.031826,             0.56477,             0.59447,             0.56725,             0.26806,            0.037959,            0.011952,            0.023562,             0.00208,             0.00208,             0.00208
                  82,            0.035664,            0.031177,             0.03293,             0.67776,             0.50079,             0.56673,             0.25619,            0.037917,            0.012119,            0.024942,            0.001981,            0.001981,            0.001981
                  83,            0.036271,            0.030713,            0.031584,             0.52612,             0.56599,             0.59188,             0.30413,             0.03695,            0.012094,            0.024876,            0.001882,            0.001882,            0.001882
                  84,            0.035035,            0.030445,            0.031736,             0.47922,             0.52491,             0.51469,             0.23685,            0.040504,            0.011998,            0.024374,            0.001783,            0.001783,            0.001783
                  85,            0.035516,            0.032591,            0.031479,             0.49089,               0.583,             0.56283,             0.27038,             0.03779,            0.012295,            0.023353,            0.001684,            0.001684,            0.001684
                  86,            0.036482,            0.030385,            0.031597,             0.55549,             0.55574,             0.59171,             0.30173,            0.036621,            0.011947,            0.022938,            0.001585,            0.001585,            0.001585
                  87,            0.035585,            0.029831,            0.030583,             0.43504,             0.57401,             0.56239,             0.26976,            0.037566,            0.011912,            0.023079,            0.001486,            0.001486,            0.001486
                  88,            0.033657,            0.031779,            0.028846,             0.57699,              0.5537,              0.5844,             0.25942,            0.037735,            0.012131,            0.024625,            0.001387,            0.001387,            0.001387
                  89,            0.036033,            0.031565,            0.029151,             0.47792,             0.57542,             0.56198,             0.26126,            0.039739,             0.01204,            0.023671,            0.001288,            0.001288,            0.001288
                  90,            0.035512,             0.03026,            0.028795,             0.63966,             0.49987,             0.55587,              0.2604,              0.0393,            0.011893,            0.022727,            0.001189,            0.001189,            0.001189
                  91,            0.034893,            0.029358,             0.03145,             0.47455,             0.59587,              0.5925,              0.2885,            0.037954,             0.01188,            0.022342,             0.00109,             0.00109,             0.00109
                  92,            0.034493,            0.030897,            0.031415,             0.48732,             0.64982,             0.60136,             0.29865,             0.03694,            0.011843,            0.022145,            0.000991,            0.000991,            0.000991
                  93,            0.034432,            0.031258,            0.030304,             0.49363,             0.62919,             0.60701,             0.29209,            0.036972,            0.011866,            0.021969,            0.000892,            0.000892,            0.000892
                  94,            0.034556,            0.031434,            0.031139,             0.46963,             0.62173,              0.5889,             0.28128,            0.038107,            0.011979,            0.021922,            0.000793,            0.000793,            0.000793
                  95,            0.034109,            0.031007,            0.024786,             0.50471,              0.6667,             0.62497,             0.30204,            0.036222,            0.011911,            0.021653,            0.000694,            0.000694,            0.000694
                  96,            0.034842,            0.030944,            0.029458,              0.5039,             0.59019,             0.57442,             0.28303,            0.036624,            0.012023,            0.021992,            0.000595,            0.000595,            0.000595
                  97,            0.032955,            0.029703,             0.02629,             0.51339,             0.63902,             0.61658,              0.2989,            0.035891,            0.012125,             0.02181,            0.000496,            0.000496,            0.000496
                  98,            0.033952,             0.03019,            0.026751,             0.51244,             0.63849,             0.62224,             0.29351,            0.035932,            0.012051,            0.021745,            0.000397,            0.000397,            0.000397
                  99,            0.033488,            0.029664,            0.026764,             0.47966,             0.63047,             0.60651,             0.29898,            0.035416,             0.01205,            0.021774,            0.000298,            0.000298,            0.000298
